ProductActivity__createdAt,Date,ProductActivity__shoeSize,ProductActivity__localAmount
09/06/2020,2020-06-09,10.5,1600
09/06/2020,2020-06-09,10.5,1639
09/06/2020,2020-06-09,11.5,1190
08/06/2020,2020-06-08,10,1270
08/06/2020,2020-06-08,11,1575
07/06/2020,2020-06-07,10,1700
07/06/2020,2020-06-07,10.5,1400
07/06/2020,2020-06-07,11.5,1450
07/06/2020,2020-06-07,13,1240
06/06/2020,2020-06-06,9.5,1795
06/06/2020,2020-06-06,10,1630
05/06/2020,2020-06-05,8.5,1949
05/06/2020,2020-06-05,9,1850
05/06/2020,2020-06-05,10.5,1649
05/06/2020,2020-06-05,13,1150
04/06/2020,2020-06-04,10,1600
03/06/2020,2020-06-03,8.5,1500
02/06/2020,2020-06-02,9,1635
02/06/2020,2020-06-02,9.5,1450
02/06/2020,2020-06-02,9.5,1420
02/06/2020,2020-06-02,10.5,1602
01/06/2020,2020-06-01,10.5,1599
31/05/2020,2020-05-31,11,1500
30/05/2020,2020-05-30,9,1700
30/05/2020,2020-05-30,9,1999
29/05/2020,2020-05-29,10.5,1601
29/05/2020,2020-05-29,11,1435
28/05/2020,2020-05-28,8.5,1895
28/05/2020,2020-05-28,9.5,1601
28/05/2020,2020-05-28,11,1435
27/05/2020,2020-05-27,10,1605
27/05/2020,2020-05-27,13,1345
26/05/2020,2020-05-26,10.5,1500
26/05/2020,2020-05-26,11.5,1590
25/05/2020,2020-05-25,9.5,1600
24/05/2020,2020-05-24,10,1795
23/05/2020,2020-05-23,10,1693
23/05/2020,2020-05-23,10.5,1650
23/05/2020,2020-05-23,10.5,1699
23/05/2020,2020-05-23,11,1450
23/05/2020,2020-05-23,11,1377
22/05/2020,2020-05-22,8.5,1943
22/05/2020,2020-05-22,10,1750
22/05/2020,2020-05-22,11,1440
22/05/2020,2020-05-22,13,1345
21/05/2020,2020-05-21,8.5,1780
21/05/2020,2020-05-21,9,1600
21/05/2020,2020-05-21,10,1840
21/05/2020,2020-05-21,10.5,1699
20/05/2020,2020-05-20,11,1320
20/05/2020,2020-05-20,11,1400
19/05/2020,2020-05-19,10,1821
19/05/2020,2020-05-19,10.5,1455
19/05/2020,2020-05-19,11,1568
18/05/2020,2020-05-18,10,1750
18/05/2020,2020-05-18,10.5,1798
18/05/2020,2020-05-18,10.5,1790
18/05/2020,2020-05-18,11,1255
18/05/2020,2020-05-18,11.5,1300
17/05/2020,2020-05-17,11.5,1600
17/05/2020,2020-05-17,12,1385
17/05/2020,2020-05-17,13,1200
16/05/2020,2020-05-16,10.5,1592
16/05/2020,2020-05-16,13,1140
15/05/2020,2020-05-15,9.5,1936
15/05/2020,2020-05-15,9.5,1800
15/05/2020,2020-05-15,10,1700
15/05/2020,2020-05-15,10,1620
15/05/2020,2020-05-15,11.5,1537
15/05/2020,2020-05-15,11.5,1501
14/05/2020,2020-05-14,9.5,1777
14/05/2020,2020-05-14,10,1500
14/05/2020,2020-05-14,12,1385
14/05/2020,2020-05-14,13,1175
13/05/2020,2020-05-13,10.5,1539
13/05/2020,2020-05-13,13,1080
12/05/2020,2020-05-12,10,1600
12/05/2020,2020-05-12,10.5,1456
12/05/2020,2020-05-12,11,1255
12/05/2020,2020-05-12,12,1400
12/05/2020,2020-05-12,12,1395
11/05/2020,2020-05-11,10.5,1525
10/05/2020,2020-05-10,9,1321
09/05/2020,2020-05-09,9,1650
09/05/2020,2020-05-09,10.5,1520
09/05/2020,2020-05-09,11,1555
09/05/2020,2020-05-09,11,1699
09/05/2020,2020-05-09,11.5,1140
08/05/2020,2020-05-08,9.5,1600
08/05/2020,2020-05-08,11,1295
07/05/2020,2020-05-07,12,1200
07/05/2020,2020-05-07,12,1260
06/05/2020,2020-05-06,10,1190
06/05/2020,2020-05-06,13,1100
05/05/2020,2020-05-05,10,1210
05/05/2020,2020-05-05,10.5,1300
05/05/2020,2020-05-05,11,1500
05/05/2020,2020-05-05,11,1400
05/05/2020,2020-05-05,11.5,1352
04/05/2020,2020-05-04,10,1300
04/05/2020,2020-05-04,10,1295
